in:Building Type,in:Plot type,in:Building Depth,in:Building Length/m,in:Orientation,in:GlzRatio,out:surface to area ratio,out:Building height,out:Area of Quality View/m2,out:Helpful solar radiation/kWh,out:Hamrful solar radiation/kWh,out:Net solar radiation/kWh,out:Privacy Factor,out:Worst 10% Hamrful solar intensitykWh/m2,out:Public Area Sunlight hours,img
Row Buildings,Two,Single load,9.6,0,0.3,0.811518,57.447842,4533,489463,108472,380991,597935,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,0,0.3,0.919642,62.544364,4394,499278,106306,392972,605584,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,0,0.3,1.02185,34.753692,2326,354337,83830,270507,438167,3,58317,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,0,0.3,0.5062,62.397646,3142,350625,69729,280896,420354,6,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,0,0.3,0.5946,32.698823,2527,276232,64549,211683,340781,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,0,0.3,0.69006,35.478744,2309,285243,66175,219068,351418,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,0,0.3,0.812286,23.088003,1504,193299,45983,147316,239282,1,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,15,0.3,0.759466,108.188894,5223,656623,116057,540566,772680,6,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,15,0.3,0.922228,68.140262,5241,587529,121623,465906,709152,5,71924.3,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,15,0.3,0.91496,60.517484,4176,502832,103557,399275,606389,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,15,0.3,1.034012,36.814316,2500,364536,84145,280391,448681,2,62204.8,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,15,0.3,0.504392,60.37576,3168,364858,67503,297355,432361,6,85531.6,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,15,0.3,0.604234,35.30738,2509,303302,67007,236295,370309,5,69980.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,15,0.3,0.705102,34.373173,2473,304268,67617,236651,371885,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,15,0.3,0.862074,25.071629,1772,233010,54080,178930,287090,1,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,30,0.3,0.77267,97.398045,5309,658111,108586,549525,766697,7,93307.2,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,30,0.3,0.886614,74.228777,5017,586181,111691,474490,697872,5,79699.9,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,30,0.3,0.909008,54.721019,3984,477032,95267,381765,572299,4,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,30,0.3,1.115858,45.448189,3583,425769,92323,333446,518092,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,30,0.3,0.503244,55.038779,3128,350191,61595,288596,411786,6,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,30,0.3,0.600018,37.520002,2876,317476,67209,250267,384685,5,73868.2,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,30,0.3,0.682998,31.9254,2330,291887,62875,229012,354762,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,30,0.3,0.855748,27.02277,1888,256038,59044,196994,315082,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,45,0.3,0.80431,115.098392,3620,721588,110784,610804,832372,8,99138.9,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,45,0.3,0.843952,74.102244,3410,558879,99500,459379,658379,6,83587.7,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,45,0.3,0.956722,55.003327,3902,500006,96903,403103,596909,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,45,0.3,1.126054,54.672511,3826,476829,96008,380821,572837,2,69980.4,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,45,0.3,0.541448,60.754787,2542,410716,66930,343786,477646,6,91363.3,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,45,0.3,0.595132,42.14702,2365,326190,64726,261464,390916,5,79699.9,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,45,0.3,0.685118,30.335002,2519,300273,61860,238413,362133,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,45,0.3,0.90183,31.313642,2164,297001,66241,230760,363242,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,60,0.3,0.829076,128.417986,3938,754389,111001,643388,865390,10,103026.7,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,60,0.3,0.850038,89.164974,3514,606805,99212,507593,706017,8,89419.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,60,0.3,0.979496,57.279831,4109,558460,100958,457502,659418,5,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,60,0.3,1.111096,60.818927,4449,534208,102561,431647,636769,3,69980.4,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,60,0.3,0.554486,64.4263,2714,420161,65771,354390,485932,7,93307.2,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,60,0.3,0.599304,49.999077,2461,348010,64412,283598,412422,6,83587.7,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,60,0.3,0.688928,30.320781,2421,303147,61833,241314,364980,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,60,0.3,0.897406,34.506293,2295,326601,70050,256551,396651,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,75,0.3,0.904932,119.574105,5614,796921,120384,676537,917305,14,99138.9,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,75,0.3,0.837124,99.116905,4970,642730,103227,539503,745957,12,93307.2,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,75,0.3,0.895688,55.683964,4727,514472,94585,419887,609057,8,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,75,0.3,1.096332,64.69413,4851,563444,106302,457142,669746,4,71924.3,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,75,0.3,0.535494,59.248141,2719,390479,63586,326893,454065,13,91363.3,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,75,0.3,0.585442,55.427403,2889,353473,63574,289899,417047,6,85531.6,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,75,0.3,0.683156,30.721586,2474,302581,61134,241447,363715,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,75,0.3,0.886306,36.570307,2582,325166,68998,256168,394164,2,68036.5,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,90,0.3,0.760186,95.366432,5047,593821,101357,492464,695178,17,95251.1,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,90,0.3,0.839584,102.525229,5605,656067,108241,547826,764308,10,91363.3,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,90,0.3,0.893828,52.773744,4964,514059,96523,417536,610582,9,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,90,0.3,1.111636,65.880953,5189,611982,114198,497784,726180,5,71924.3,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,90,0.3,0.50646,53.366341,3000,332860,59652,273208,392512,15,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,90,0.3,0.583188,57.286489,3221,359424,64015,295409,423439,5,85531.6,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,90,0.3,0.666448,30.146557,2564,295103,59434,235669,354537,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,90,0.3,0.88,37.29837,2496,353385,73112,280273,426497,3,68036.5,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,105,0.3,0.904406,119.403492,6384,752126,128064,624062,880190,15,95251.1,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,105,0.3,0.837124,99.15791,4478,617318,107826,509492,725144,10,91363.3,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,105,0.3,0.895424,55.670406,4296,499679,99786,399893,599465,7,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,105,0.3,1.096574,64.710261,4301,548743,109650,439093,658393,4,69980.4,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,105,0.3,0.534906,59.212902,3313,369709,66885,302824,436594,14,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,105,0.3,0.585442,55.449769,2581,343729,65486,278243,409215,6,85531.6,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,105,0.3,0.68309,30.721035,2249,296776,62987,233789,359763,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,105,0.3,0.886486,36.579277,2221,321519,69429,252090,390948,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,120,0.3,0.82951,128.445323,5804,684505,125021,559484,809526,13,95251.1,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,120,0.3,0.850762,89.244192,4228,569094,105611,463483,674705,8,89419.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,120,0.3,0.978938,57.273994,4173,526696,109583,417113,636279,6,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,120,0.3,1.111832,60.849372,3507,514855,105530,409325,620385,4,69980.4,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,120,0.3,0.554668,64.415208,3535,383379,72779,310600,456158,12,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,120,0.3,0.599768,50.042287,2552,325709,67189,258520,392898,6,81643.8,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,120,0.3,0.688926,30.326371,2091,289595,65607,223988,355202,5,68036.5,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,120,0.3,0.897922,34.522147,1970,317658,71326,246332,388984,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,135,0.3,0.805322,115.226481,5489,639872,123662,516210,763534,11,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,135,0.3,0.84508,74.16867,4034,515011,104275,410736,619286,7,81643.8,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,135,0.3,0.9577,55.035649,3392,467042,102736,364306,569778,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,135,0.3,1.12008,54.717509,3112,469658,102039,367619,571697,3,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,135,0.3,0.54198,60.806883,3321,355119,72253,282866,427372,10,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,135,0.3,0.595792,42.185784,2394,301521,67256,234265,368777,6,75812.1,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,135,0.3,0.684894,30.328689,2073,283996,65073,218923,349069,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,135,0.3,0.902528,31.337199,1748,288107,66835,221272,354942,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,150,0.3,0.77171,97.337693,5141,589839,119192,470647,709031,9,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,150,0.3,0.886226,74.219806,4426,539783,113822,425961,653605,6,79699.9,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,150,0.3,0.908608,54.688795,3293,445795,98808,346987,544603,5,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,150,0.3,1.116346,45.518296,2695,402781,91538,311243,494319,2,62204.8,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,150,0.3,0.50316,55.025999,2984,311981,66125,245856,378106,8,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,150,0.3,0.599658,37.540095,2166,282619,67519,215100,350138,5,69980.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,150,0.3,0.682762,31.914638,2050,279637,65012,214625,344649,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,150,0.3,0.87014,27.948694,1598,254183,59594,194589,313777,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,165,0.3,0.759466,108.143895,5179,606590,121144,485446,727734,7,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,165,0.3,0.92417,68.214151,4940,548097,122392,425705,670489,6,69980.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
