in:Building Type,in:Plot type,in:Building Depth,in:Building Length/m,in:Orientation,in:GlzRatio,out:surface to area ratio,out:Building height,out:Area of Quality View/m2,out:Helpful solar radiation/kWh,out:Hamrful solar radiation/kWh,out:Net solar radiation/kWh,out:Privacy Factor,out:Worst 10% Hamrful solar intensitykWh/m2,out:Public Area Sunlight hours,img
Row Buildings,Three,Single load,9.6,165,0.3,0.91461,60.492879,4031,481069,104847,376222,585916,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,165,0.3,1.034576,36.851761,2270,354357,82747,271610,437104,3,60260.9,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,165,0.3,0.504208,60.351215,3124,336559,70356,266203,406915,7,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,165,0.3,0.604674,35.321701,2098,282413,67423,214990,349836,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,165,0.3,0.704866,34.359752,2238,295898,68516,227382,364414,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,165,0.3,0.862748,25.088632,1638,234215,54662,179553,288877,2,62204.8,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,180,0.3,0.764,111.895547,5204,631905,120191,511714,752096,7,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,Two,Single load,9.6,180,0.3,0.812886,57.506824,4310,488038,107899,380139,595937,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,Three,Single load,9.6,180,0.3,0.91964,62.544289,4390,498823,106368,392455,605191,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,Four,Single load,9.6,180,0.3,1.022034,34.753651,2288,361877,85554,276323,447431,3,58317,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,One,Double load,9.6,180,0.3,0.506198,62.397571,3141,350500,69733,280767,420233,6,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,Two,Double load,9.6,180,0.3,0.595016,32.716353,2367,274620,63840,210780,338460,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,Three,Double load,9.6,180,0.3,0.69006,35.478703,2309,284957,66168,218789,351125,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,Four,Double load,9.6,180,0.3,0.812386,23.088003,1494,199324,47436,151888,246760,1,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation360_GlzRatio0.3_4.png
Row Buildings,One,Single load,9.6,0,0.4,0.764002,111.895685,6944,841615,159958,681657,1001573,7,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,0,0.4,0.811518,57.447842,6029,649108,144031,505077,793139,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,0,0.4,0.919642,62.544364,5949,664215,141339,522876,805554,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,0,0.4,1.02185,34.753692,3060,460791,109597,351194,570388,3,58317,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,0,0.4,0.5062,62.397646,4187,467145,92700,374445,559845,6,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,0,0.4,0.5946,32.698823,3331,364950,85328,279622,450278,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,0,0.4,0.69006,35.478744,3106,380968,88048,292920,469016,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,0,0.4,0.812286,23.088003,2016,262595,62578,200017,325173,1,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation0_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,15,0.4,0.759466,108.188894,6964,875166,154588,720578,1029754,6,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,15,0.4,0.922228,68.140262,7008,790447,162775,627672,953222,5,71924.3,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,15,0.4,0.91496,60.517484,5614,673009,137999,535010,811008,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,15,0.4,1.034012,36.814316,3380,489581,112759,376822,602340,2,62204.8,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,15,0.4,0.504392,60.37576,4216,486590,89823,396767,576413,6,85531.6,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,15,0.4,0.604234,35.30738,3363,406469,89512,316957,495981,5,69980.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,15,0.4,0.705102,34.373173,3354,397811,88584,309227,486395,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,15,0.4,0.862074,25.071629,2319,310177,72038,238139,382215,1,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation30_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,30,0.4,0.77267,97.398045,7057,875992,144684,731308,1020676,7,93307.2,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,30,0.4,0.886614,74.228777,6665,780452,148862,631590,929314,5,79699.9,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,30,0.4,0.909008,54.721019,5362,638128,126937,511191,765065,4,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,30,0.4,1.115858,45.448189,4796,561944,123063,438881,685007,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,30,0.4,0.503244,55.038779,4171,468472,82297,386175,550769,6,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,30,0.4,0.600018,37.520002,3854,423764,89679,334085,513443,5,73868.2,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,30,0.4,0.682998,31.9254,3123,395513,84450,311063,479963,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,30,0.4,0.869668,27.930605,2620,340612,78799,261813,419411,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation60_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,45,0.4,0.80431,115.098392,4827,969882,148926,820956,1118808,8,99138.9,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,45,0.4,0.843952,74.102244,4554,746276,132747,613529,879023,6,83587.7,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,45,0.4,0.956722,55.003327,5210,669604,129386,540218,798990,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,45,0.4,1.119116,54.672511,5677,657980,132493,525487,790473,3,68036.5,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,45,0.4,0.541448,60.754787,3389,544113,88791,455322,632904,6,91363.3,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,45,0.4,0.595132,42.14702,3141,430203,85842,344361,516045,5,79699.9,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,45,0.4,0.685118,30.335002,3346,394618,81964,312654,476582,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,45,0.4,0.90183,31.313642,2889,383325,85983,297342,469308,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation90_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,60,0.4,0.829076,128.417986,5250,1.00E+06,148087,851913,1148087,10,103026.7,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,60,0.4,0.850038,89.164974,4676,807628,132206,675422,939834,8,89419.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,60,0.4,0.979496,57.279831,5482,737243,133813,603430,871056,5,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,60,0.4,1.111096,60.818927,5868,707623,135336,572287,842959,3,69980.4,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,60,0.4,0.554486,64.4263,3619,559457,87877,471580,647334,7,93307.2,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,60,0.4,0.599304,49.999077,3275,467471,85796,381675,553267,6,83587.7,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,60,0.4,0.688928,30.320781,3231,398126,81700,316426,479826,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,60,0.4,0.897406,34.506293,3053,427165,91758,335407,518923,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation120_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,75,0.4,0.904932,119.574105,7493,1.06E+06,160209,899791,1220209,14,99138.9,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,75,0.4,0.837124,99.116905,6645,855789,137531,718258,993320,12,93307.2,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,75,0.4,0.895688,55.683964,6316,685170,125756,559414,810926,8,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,75,0.4,1.096332,64.69413,6429,751102,141779,609323,892881,4,71924.3,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,75,0.4,0.535494,59.248141,3666,520830,84186,436644,605016,12,91363.3,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,75,0.4,0.585442,55.427403,3857,469034,84587,384447,553621,6,85531.6,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,75,0.4,0.683156,30.721586,3268,394314,80398,313916,474712,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,75,0.4,0.886306,36.570307,3414,439721,92977,346744,532698,2,68036.5,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation150_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,90,0.4,0.760186,95.366432,6741,837795,135579,702216,973374,16,95251.1,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,90,0.4,0.839584,102.525229,7494,867678,143447,724231,1011125,9,91363.3,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,90,0.4,0.893828,52.773744,6623,677058,127533,549525,804591,7,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,90,0.4,1.111636,65.880953,6815,781830,148566,633264,930396,5,71924.3,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,90,0.4,0.50646,53.366341,4006,462073,79902,382171,541975,15,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,90,0.4,0.583188,57.286489,4295,475035,85050,389985,560085,5,85531.6,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,90,0.4,0.666448,30.146557,3448,385485,78516,306969,464001,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,90,0.4,0.88,37.29837,3315,445753,94255,351498,540008,2,68036.5,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation180_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,105,0.4,0.904406,119.403492,8503,1.00E+06,171170,828830,1171170,15,95251.1,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,105,0.4,0.837124,99.15791,6012,822353,143560,678793,965913,10,91363.3,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,105,0.4,0.895424,55.670406,5699,665056,132674,532382,797730,7,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,105,0.4,1.096574,64.710261,5664,734098,146253,587845,880351,4,69980.4,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,105,0.4,0.534906,59.212902,4398,496033,89917,406116,585950,14,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,105,0.4,0.585442,55.449769,3448,457004,86922,370082,543926,6,85531.6,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,105,0.4,0.68309,30.721035,2999,389297,83104,306193,472401,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,105,0.4,0.886486,36.579277,2908,434314,93732,340582,528046,2,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation210_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,120,0.4,0.82951,128.445323,7732,911873,166648,745225,1078521,13,95251.1,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,120,0.4,0.850762,89.244192,5655,757363,140747,616616,898110,7,89419.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,120,0.4,0.978938,57.273994,5582,699315,144824,554491,844139,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,120,0.4,1.111832,60.849372,4660,680984,140098,540886,821082,4,69980.4,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,120,0.4,0.554668,64.415208,4706,508393,97061,411332,605454,12,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,120,0.4,0.599768,50.042287,3412,437253,89965,347288,527218,6,81643.8,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,120,0.4,0.688926,30.326371,2802,383924,86808,297116,470732,5,68036.5,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,120,0.4,0.897922,34.522147,2635,416495,93784,322711,510279,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation240_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,135,0.4,0.805322,115.226481,7322,851520,164499,687021,1016019,11,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,135,0.4,0.84508,74.16867,5378,683880,138541,545339,822421,7,81643.8,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,135,0.4,0.9577,55.035649,4571,625140,137351,487789,762491,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,135,0.4,1.12008,54.717509,4115,623637,135894,487743,759531,3,66092.6,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,135,0.4,0.54198,60.806883,4430,474124,96827,377297,570951,10,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,135,0.4,0.595792,42.185784,3190,397894,89109,308785,487003,6,75812.1,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,135,0.4,0.684894,30.328689,2808,370774,85771,285003,456545,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,135,0.4,0.902528,31.337199,2331,373253,86629,286624,459882,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation270_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,150,0.4,0.77171,97.337693,6830,780022,157408,622614,937430,9,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,150,0.4,0.886226,74.219806,5892,717353,151469,565884,868822,6,79699.9,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,150,0.4,0.908608,54.688795,4422,593958,130952,463006,724910,5,73868.2,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,150,0.4,1.116346,45.518296,3638,535203,121688,413515,656891,3,62204.8,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,150,0.4,0.50316,55.025999,3966,414543,87625,326918,502168,8,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,150,0.4,0.599658,37.540095,2893,377337,89940,287397,467277,5,69980.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,150,0.4,0.682762,31.914638,2725,375662,87145,288517,462807,5,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,150,0.4,0.87014,27.948694,2198,336956,79191,257765,416147,2,64148.7,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation300_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,165,0.4,0.759466,108.143895,6903,806598,161119,645479,967717,7,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,165,0.4,0.92417,68.214151,6631,739606,164458,575148,904064,6,69980.4,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,165,0.4,0.91461,60.492879,5326,644726,139687,505039,784413,4,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,165,0.4,1.034576,36.851761,2973,475724,110977,364747,586701,3,60260.9,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,165,0.4,0.504208,60.351215,4165,447040,93409,353631,540449,7,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,Two,Double load,9.6,165,0.4,0.604674,35.321701,2829,376133,89730,286403,465863,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,Three,Double load,9.6,165,0.4,0.704866,34.359752,2921,388554,89316,299238,477870,4,69980.4,BuildingType1_MinimumPlotwidthm36_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,Four,Double load,9.6,165,0.4,0.862748,25.088632,2148,311611,72640,238971,384251,2,62204.8,BuildingType1_MinimumPlotwidthm21_BuildingDepthm17.6_BuildingLengthm9.6_Orientation330_GlzRatio0.4_4.png
Row Buildings,One,Single load,9.6,180,0.4,0.764,111.895547,6944,841359,159976,681383,1001335,7,89419.4,BuildingType1_MinimumPlotwidthm43_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.4_4.png
Row Buildings,Two,Single load,9.6,180,0.4,0.812886,57.506824,5775,655216,143793,511423,799009,5,68036.5,BuildingType1_MinimumPlotwidthm42_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.4_4.png
Row Buildings,Three,Single load,9.6,180,0.4,0.91964,62.544289,5942,663865,141345,522520,805210,5,71924.3,BuildingType1_MinimumPlotwidthm36_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.4_4.png
Row Buildings,Four,Single load,9.6,180,0.4,1.022034,34.753651,3051,468238,111191,357047,579429,3,58317,BuildingType1_MinimumPlotwidthm21_BuildingDepthm9.6_BuildingLengthm9.6_Orientation360_GlzRatio0.4_4.png
Row Buildings,One,Double load,9.6,180,0.4,0.506198,62.397571,4187,467173,92716,374457,559889,6,87475.5,BuildingType1_MinimumPlotwidthm43_BuildingDepthm17.6_BuildingLengthm9.6_Orientation360_GlzRatio0.4_4.png
